Gene_ID	ES_rep1	ES_rep2	TN_rep1	TN_rep2
333564	270	70	2	3
381406	14	5	8	4
382000	0	1	0	0
382427	11	4	6	4
432589	0	0	1	2
433693	200	44	35	136
104001	56	17	333	1560
224055	0	0	0	0
76441	2	1	11	51
230837	40	13	4	20
231002	36	29	21	53
12175	296	92	222	222
213043	4	0	1	3
215654	13	2	70	154
217431	649	117	105	275
233208	120	43	55	114
380768	0	0	2	4
386463	0	0	0	0
386612	13	7	0	9
433365	0	0	0	0
434179	115	30	34	99
434440	0	0	0	0
493809	0	0	0	0
140795	0	3	0	0
71820	60	20	27	86
209513	0	0	0	0
240034	153	42	35	62
241950	111	46	71	67
75553	375	96	174	393
11539	3	0	11	84
17859	154	42	31	203
69282	1	0	0	1
207728	21	3	20	79
210104	16	2	10	19
211978	176	83	54	137
16190	17	6	1	4
13132	46	25	23	400
231889	325	154	233	195
494124	0	0	0	0
243574	41	14	11	6
73750	149	65	35	176
381107	129	56	35	57
74042	0	0	0	0
238405	0	0	0	0
381204	25	7	0	2
382007	0	0	0	0
384806	0	0	0	1
333473	1	0	0	0
381531	0	0	0	0
70450	8	2	1	0
215854	0	0	0	0
494468	49	10	71	77
52398	807	140	120	500
215493	1	1	0	1
237781	4	5	3	9
75770	16	12	141	485
56338	27	23	7	22
329244	0	0	0	0
75974	623	117	169	431
228777	3	2	6	6
230125	58	17	61	96
234788	1	3	0	0
382010	437	130	61	87
494519	0	0	0	0
18573	19	11	19	66
76775	1153	254	116	768
231630	0	1	8	1
233529	0	0	0	0
209517	0	0	0	0
215855	0	0	0	0
215856	0	0	0	0
215859	0	0	0	0
503558	0	0	0	0
240087	128	49	13	27
241877	0	0	0	0
276742	0	0	0	0
333654	54	22	9	19
382348	0	0	0	0
435206	0	0	0	0
435207	0	0	0	0
494546	0	0	0	0
14548	21	9	11	32
14623	0	0	2	1
14738	0	0	0	2
15466	2	3	3	2
329460	0	0	0	0
258219	0	0	0	0
258220	0	0	0	0
258222	0	0	0	0
258225	0	0	0	0
258227	0	0	0	0
258228	0	0	0	0
259143	0	0	0	0
259144	0	0	0	0
259145	0	0	0	0
259147	0	0	0	0
259148	0	0	0	0
259151	0	0	0	0
259161	0	0	0	0
258166	0	0	0	0
258167	0	0	1	0
258168	0	0	0	0
258173	0	0	0	0
258178	0	0	0	0
433292	1	0	2	10
497071	0	0	0	0
257899	0	0	0	0
69888	0	1	0	0
258218	0	0	0	0
228787	3	2	27	59
545140	0	0	0	0
257875	0	0	0	0
257880	0	0	0	0
257881	0	0	0	0
257883	0	0	0	0
257884	0	0	0	0
257885	0	0	0	0
257886	0	0	0	0
257888	0	0	0	0
257891	0	0	0	0
257892	0	0	0	0
257898	0	0	0	0
257902	0	0	0	0
257904	0	0	0	0
257905	0	0	0	0
257906	0	0	0	0
257908	0	0	0	0
257909	0	0	0	0
257910	0	0	0	0
257912	0	0	0	0
257914	0	0	0	0
257915	0	0	0	0
257916	0	0	0	0
257917	0	0	0	0
257921	0	0	0	0
257929	0	0	0	0
257931	0	0	0	0
257932	0	0	0	0
257933	0	0	0	0
257935	0	0	0	0
257936	0	0	0	0
257938	0	0	0	0
257939	0	0	0	0
257941	0	0	0	0
257943	0	0	0	0
629524	0	0	0	0
634104	0	0	0	0
257947	0	0	0	0
257950	0	0	0	0
257951	0	0	0	0
257956	0	0	0	0
257962	0	0	0	0
257971	0	0	0	0
257972	0	0	0	0
257973	0	0	0	0
257975	0	0	0	0
257978	0	0	0	0
257980	0	0	0	0
257984	0	0	0	0
257985	0	0	0	0
257996	0	0	0	0
258016	0	0	0	0
258019	0	0	0	2
258020	0	0	0	0
258022	0	0	0	0
258023	0	0	0	0
258025	0	0	0	0
258027	0	0	0	0
258028	0	0	0	0
258035	0	0	0	0
258036	0	0	0	0
258039	0	0	0	0
258041	0	0	0	0
258042	0	0	0	0
258046	0	0	0	0
258051	0	0	0	0
258055	0	0	0	0
258056	0	0	0	0
258060	0	0	0	0
258064	0	0	0	0
258065	0	0	0	0
258068	0	0	0	0
258069	0	0	0	0
258074	0	0	0	0
258075	0	0	0	0
258085	0	0	0	0
258086	0	0	0	0
258087	0	0	0	0
258089	0	0	0	0
258094	0	0	0	0
258095	0	0	0	0
258097	0	0	0	0
258098	0	0	0	0
258101	0	0	0	0
258103	0	0	0	0
258105	0	0	0	0
258111	0	0	0	0
258113	0	0	0	0
258117	0	0	0	0
258120	0	0	0	0
258121	0	0	0	0
258123	0	0	0	0
258135	0	0	0	0
258136	0	0	0	0
258139	0	0	0	0
258147	0	0	0	0
258150	0	0	0	0
258151	0	0	0	0
258153	0	0	0	0
258154	0	0	0	0
258155	0	0	0	0
258156	0	0	0	0
258158	0	0	0	0
258159	0	0	0	0
258160	0	0	0	0
258163	0	0	0	0
258165	0	0	0	0
258177	0	0	0	0
100502887	0	0	0	0
258180	0	0	0	0
258181	0	0	0	0
258183	0	0	0	0
258189	0	0	0	0
258196	0	0	0	0
258201	0	0	0	0
258203	0	0	0	0
258207	0	0	0	0
258214	0	0	0	0
258215	0	0	0	0
258216	0	0	0	0
381246	1	0	1	0
497097	850	214	2556	8178
497106	0	0	0	0
630952	0	0	0	0
497113	0	0	0	0
22040	5	2	9	10
257963	0	0	0	0
257872	0	0	0	0
258008	0	0	0	0
11799	15	7	2	7
277468	1	0	31	196
15494	0	0	0	0
237859	324	70	65	117
104910	5	0	3	4
319207	19	6	7	8
319229	3	0	1	3
381530	0	0	0	0
407800	4	0	9	15
432769	28	11	4	26
30928	26	5	11	6
17242	4	3	1	1
117591	0	0	3	17
228801	0	0	2	2
30963	76	11	65	185
230696	34	19	16	17
243912	3	1	0	1
328779	1	2	0	0
140577	238	63	10	135
20315	2	4	5	1
171167	88	19	6	34
77683	1032	248	284	1177
503550	0	0	0	2
116837	464	99	1352	4934
497652	4	4	6	10
102032	36	8	12	42
408190	0	0	0	0
277345	0	0	0	0
433502	0	0	0	0
503692	0	0	0	0
224129	14	2	75	447
503845	0	0	0	0
67109	219	57	43	136
68460	0	0	1	1
68852	0	0	0	0
70113	0	0	0	0
545725	16	1	14	9
72607	130	53	113	410
73122	126	48	113	226
74044	321	119	18	31
103266	91	17	34	50
68964	223	107	47	75
504193	356	142	341	576
18413	0	0	0	1
101240	192	67	109	161
105787	67	17	25	101
108961	101	40	10	11
109054	94	32	55	58
140742	131	41	129	460
209200	9	0	0	0
654309	0	0	0	0
214531	4	3	0	2
214895	162	51	41	248
217109	362	80	137	167
227522	30	20	13	9
230098	5	3	2	0
231915	640	151	119	252
234358	95	38	24	32
234663	206	56	166	238
237926	4	2	14	11
240899	2	0	0	2
244550	0	4	0	0
268934	11	4	38	382
276952	3	1	44	59
319535	100	14	26	113
380836	87	29	92	156
399548	0	0	0	0
432508	1366	248	346	706
433719	0	0	0	0
382117	101	28	90	130
432450	344	63	2878	9949
541307	0	0	0	0
216860	69	35	43	54
237422	660	127	337	935
258096	0	0	0	0
66209	146	40	33	46
66231	145	36	104	157
93742	1813	424	523	3195
327956	1	0	0	0
76251	968	227	158	311
541463	0	0	0	0
94088	270	61	6	7
13199	0	0	1	0
22715	934	345	467	508
210573	3	1	18	25
210962	0	0	0	1
214292	0	0	0	0
219228	6	2	489	977
230757	0	1	2	0
230824	28	19	2	7
232585	2	0	1	1
237403	14	9	11	12
237891	0	0	0	0
238829	0	0	0	0
239789	0	0	0	1
240549	1	0	2	9
244595	0	1	2	1
245109	0	0	0	0
268288	1	0	0	0
268958	9	2	5	10
380855	15	8	8	5
381236	28	5	2	2
381260	15	11	19	56
